+---------------+------+--------+-------+-----------+
|   series id   | year | period | value | footnotes |
| APU0000710411 | 2018 |  M10   | 4.864 |           |
| APU0000710411 | 2018 |  M09   | 4.754 |           |
| APU0000710411 | 2018 |  M08   | 4.662 |           |
| APU0000710411 | 2018 |  M07   | 4.750 |           |
| APU0000710411 | 2018 |  M06   | 4.656 |           |
| APU0000710411 | 2018 |  M05   | 4.588 |           |
| APU0000710411 | 2018 |  M04   | 4.709 |           |
| APU0000710411 | 2018 |  M03   | 4.825 |           |
| APU0000710411 | 2018 |  M02   | 4.670 |           |
| APU0000710411 | 2018 |  M01   | 4.786 |           |
| APU0000710411 | 2017 |  M12   | 4.758 |           |
| APU0000710411 | 2017 |  M11   | 4.567 |           |
| APU0000710411 | 2017 |  M10   | 4.683 |           |
| APU0000710411 | 2017 |  M09   | 4.648 |           |
| APU0000710411 | 2017 |  M08   | 4.688 |           |
| APU0000710411 | 2017 |  M07   | 4.606 |           |
| APU0000710411 | 2017 |  M06   | 4.629 |           |
| APU0000710411 | 2017 |  M05   | 4.631 |           |
| APU0000710411 | 2017 |  M04   | 4.659 |           |
| APU0000710411 | 2017 |  M03   | 4.751 |           |
| APU0000710411 | 2017 |  M02   | 4.870 |           |
| APU0000710411 | 2017 |  M01   | 4.834 |           |
| APU0000710411 | 2016 |  M12   | 4.682 |           |
| APU0000710411 | 2016 |  M11   | 4.615 |           |
| APU0000710411 | 2016 |  M10   | 4.712 |           |
| APU0000710411 | 2016 |  M09   | 4.695 |           |
| APU0000710411 | 2016 |  M08   | 4.710 |           |
| APU0000710411 | 2016 |  M07   | 4.691 |           |
| APU0000710411 | 2016 |  M06   | 4.710 |           |
| APU0000710411 | 2016 |  M05   | 4.801 |           |
| APU0000710411 | 2016 |  M04   | 4.915 |           |
| APU0000710411 | 2016 |  M03   | 4.850 |           |
| APU0000710411 | 2016 |  M02   | 4.851 |           |
| APU0000710411 | 2016 |  M01   | 4.913 |           |
| APU0000710411 | 2015 |  M12   | 4.725 |           |
| APU0000710411 | 2015 |  M11   | 4.684 |           |
| APU0000710411 | 2015 |  M10   | 4.626 |           |
| APU0000710411 | 2015 |  M09   | 4.791 |           |
| APU0000710411 | 2015 |  M08   | 4.597 |           |
| APU0000710411 | 2015 |  M07   | 4.466 |           |
| APU0000710411 | 2015 |  M06   | 4.620 |           |
| APU0000710411 | 2015 |  M05   | 4.696 |           |
| APU0000710411 | 2015 |  M04   | 4.791 |           |
| APU0000710411 | 2015 |  M03   | 4.889 |           |
| APU0000710411 | 2015 |  M02   | 4.955 |           |
| APU0000710411 | 2015 |  M01   | 5.089 |           |
| APU0000710411 | 2014 |  M12   | 5.041 |           |
| APU0000710411 | 2014 |  M11   | 4.863 |           |
| APU0000710411 | 2014 |  M10   | 4.884 |           |
| APU0000710411 | 2014 |  M09   | 4.987 |           |
| APU0000710411 | 2014 |  M08   | 4.751 |           |
| APU0000710411 | 2014 |  M07   | 4.719 |           |
| APU0000710411 | 2014 |  M06   | 4.691 |           |
| APU0000710411 | 2014 |  M05   | 4.911 |           |
| APU0000710411 | 2014 |  M04   | 5.011 |           |
| APU0000710411 | 2014 |  M03   | 4.842 |           |
| APU0000710411 | 2014 |  M02   | 4.979 |           |
| APU0000710411 | 2014 |  M01   | 5.022 |           |
| APU0000710411 | 2013 |  M12   | 4.975 |           |
| APU0000710411 | 2013 |  M11   | 4.885 |           |
| APU0000710411 | 2013 |  M10   | 4.945 |           |
| APU0000710411 | 2013 |  M09   | 4.795 |           |
| APU0000710411 | 2013 |  M08   | 5.034 |           |
| APU0000710411 | 2013 |  M07   | 4.840 |           |
| APU0000710411 | 2013 |  M06   | 5.005 |           |
| APU0000710411 | 2013 |  M05   | 4.831 |           |
| APU0000710411 | 2013 |  M04   | 5.093 |           |
| APU0000710411 | 2013 |  M03   | 5.089 |           |
| APU0000710411 | 2013 |  M02   | 5.184 |           |
| APU0000710411 | 2013 |  M01   | 5.263 |           |
| APU0000710411 | 2012 |  M12   | 5.102 |           |
| APU0000710411 | 2012 |  M11   | 5.036 |           |
| APU0000710411 | 2012 |  M10   | 5.128 |           |
| APU0000710411 | 2012 |  M09   | 4.893 |           |
| APU0000710411 | 2012 |  M08   | 4.846 |           |
| APU0000710411 | 2012 |  M07   | 4.929 |           |
| APU0000710411 | 2012 |  M06   | 4.896 |           |
| APU0000710411 | 2012 |  M05   | 5.048 |           |
| APU0000710411 | 2012 |  M04   | 5.206 |           |
| APU0000710411 | 2012 |  M03   | 5.090 |           |
| APU0000710411 | 2012 |  M02   | 5.030 |           |
| APU0000710411 | 2012 |  M01   | 5.290 |           |
+---------------+------+--------+-------+-----------+
