+---------------+------+--------+-------+-----------+
|   series id   | year | period | value | footnotes |
| APU0000FC1101 | 2013 |  M04   | 3.823 |           |
| APU0000FC1101 | 2013 |  M03   | 3.839 |           |
| APU0000FC1101 | 2013 |  M02   | 3.814 |           |
| APU0000FC1101 | 2013 |  M01   | 3.841 |           |
| APU0000FC1101 | 2012 |  M12   | 3.820 |           |
| APU0000FC1101 | 2012 |  M11   | 3.802 |           |
| APU0000FC1101 | 2012 |  M10   | 3.759 |           |
| APU0000FC1101 | 2012 |  M09   | 3.754 |           |
| APU0000FC1101 | 2012 |  M08   | 3.766 |           |
| APU0000FC1101 | 2012 |  M07   | 3.747 |           |
| APU0000FC1101 | 2012 |  M06   | 3.715 |           |
| APU0000FC1101 | 2012 |  M05   | 3.693 |           |
| APU0000FC1101 | 2012 |  M04   | 3.663 |           |
| APU0000FC1101 | 2012 |  M03   | 3.664 |           |
| APU0000FC1101 | 2012 |  M02   | 3.621 |           |
| APU0000FC1101 | 2012 |  M01   | 3.600 |           |
+---------------+------+--------+-------+-----------+
