period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
2013-09-01,2013-09-30,30,national,11,1400,t, National,National,U.S.,US,All Residential,-1,209749.175327942,0.0013816188907609,0.1222628959469063,219272.689363577,-0.0010893383044933,0.1163447394618806,114.368523711698,-0.0009608582219292,0.1130571216909805,118.801761007174,0.0072251529243272,0.1083236597304759,443966.61434471107,-0.0255521026918105,0.0927683328985331,329884.763818517,-0.010883931467325,0.1948030085884466,569804.074195536,0.001327079269503,0.1274610607446626,1859410.55674314,0.0074445157486913,-0.0067636663628396,4.18719735031963,0.1967399506908393,-0.3940148214158503,61.1966544963479,0.0,-14.0,0.975328440355052,-0.000380144606271,0.0058760526251129,0.220366007975934,-0.00384659130511,0.014642425291143,0.0621553120290088,0.0033751065779095,0.0106547382582978,,,,,,2022-01-09 00:00:00
2012-04-01,2012-04-30,30,national,11,1400,f, National,National,U.S.,US,All Residential,-1,177995.0,0.0410824168937828,0.0598299026026889,199160.0,0.0002355585277689,0.0054184512053327,98.0,0.039572519332456,0.0438268560397856,108.0,-0.0009155556691823,-0.0072828198662165,402984.0,0.0268774180620194,0.0853240721118762,307367.0,0.0850130372619106,0.2219877786168822,604361.0,-0.0247228314044578,-0.0183760185100186,2145026.0,0.0170742425697747,-0.1644105534283192,5.322848347747378,-0.05130482543706,-1.590852474724148,81.0,-12.0,-16.0,0.9653221039242308,0.0034025302601724,0.0069661891997168,0.188317617028539,0.0059783483601264,0.0189049192369325,0.0559475791286964,-0.0032476887490617,-0.0174486726881372,0.3252380748335767,-0.008577785208943,0.062488097462158,,,2022-01-09 14:33:38
2018-09-01,2018-09-30,30,national,11,1400,t, National,National,U.S.,US,Single Units Only,-2,,,,295969.767698584,0.0142945434016672,0.0550433144874986,151.477408137746,0.0019968362511708,0.0424556326992195,158.576424455329,0.0086980249376604,0.0528657680648942,,,,424690.50206102,-0.0207551420782172,0.0004949258465076,,,,,,,,,,42.1498082267674,0.0,-3.0,0.983205980278576,-0.0001150168104879,-0.0003973462208309,,,,0.149475845852914,0.002931445783315,0.030960718337605,,,,,,2022-01-09 00:00:00
2019-07-01,2019-07-31,30,national,11,1400,f, National,National,U.S.,US,All Residential,-1,299192.0,-0.0098048940513469,0.0430911795775357,299935.0,-0.0245068140956011,0.0307998324356191,158.0,-0.004934915785418,0.0296236200497121,160.0,-0.0089936279228768,0.0215447261593002,637980.0,0.0201035336991763,0.0258062265758933,543419.0,0.0125701011259555,0.0076839412140603,706482.0,-0.043399539310777,-0.0140602699424716,1683965.0,-0.0088484224507551,0.0134172735184689,2.6395239140346627,-0.0771016082169633,-0.0322679894249184,36.0,1.0,4.0,0.9858739589670668,-0.001016947646281,-0.0018805750267228,0.2532627970748013,-0.0096790615558408,-0.0258559442172943,0.1675746086838413,0.006933628080965,0.0065123196371318,0.3585002896050761,-0.0376027329739362,-0.0166286124328086,,,2022-01-09 14:33:38
2013-01-01,2013-01-31,30,national,11,1400,t, National,National,U.S.,US,Condo/Co-op,3,162698.342201793,-0.0051199426322932,0.1410045404747173,169134.622288148,0.0197950434415476,0.0771484110524183,,,,143.234637167778,0.0114574541924967,0.0707855352178028,,,,37757.2010617821,0.0405926854557514,0.201611429932857,,,,210716.838124244,-0.0075495245455375,-0.2313861760989842,4.30446706443423,0.1510515984647797,-1.65985426699452,64.5191610294387,-5.0,-22.0,,,,0.231539068273858,0.013081683587973,0.0592504560677329,0.0600658776166008,-0.0296026335176368,-0.0150229833597089,0.3513861875848219,-0.01049572962322,0.1053314837123679,,,2022-01-09 00:00:00
2017-01-01,2017-01-31,30,national,11,1400,f, National,National,U.S.,US,Townhouse,13,223799.0,-0.0511727418437842,0.090937042861197,242755.0,0.1221645926713517,0.0841410635952895,140.0,-0.0161316824356635,0.0736363911029187,148.0,0.073451360347664,0.069202358256567,31563.0,-0.2913130577845477,0.0776751835198952,29377.0,0.0554086168653025,0.1744022977629289,45112.0,0.4888849473602079,0.0707024883273981,107228.0,-0.0091602368234555,-0.1117783715700526,3.397283728347675,0.9674149374924929,-0.7246248676947888,51.0,4.0,-8.0,0.9812691105526584,-0.0002120134159603,0.0046786035958306,0.2102311087509047,-0.0006025619268162,0.0120319528197223,0.0722232732539747,0.0125122763819429,-0.0087507875935618,0.4165792197064069,0.0997600340833936,0.0535583831279574,,,2022-01-09 14:33:38
2018-03-01,2018-03-31,30,national,11,1400,f, National,National,U.S.,US,Multi-Family (2-4 Unit),4,286720.0,0.031456602944986,0.1319450106501365,341088.0,-0.0014763649433197,0.133077814680111,136.0,0.0208353207465972,0.1204538964649424,153.0,-0.0200878373827979,0.103043813925097,9386.0,0.3332898498808518,0.0127815447505623,8829.0,0.3104987329524859,0.0699922394118086,13019.0,0.1677779989786278,-0.0124256084677656,28740.0,0.0146221317748882,-0.1205139952420785,3.061986277138617,-0.961694161057415,-0.4640768722335626,41.0,-4.0,-10.0,0.9687979930204226,0.0062373858699125,0.0060491250476792,0.2741296119622165,0.0448328660669433,0.0333011388350003,0.0837846193926304,0.0057150734615252,0.0034564163772023,0.4628807763813814,-0.0110120100756123,0.0053142529815708,,,2022-01-09 14:33:38
2016-04-01,2016-04-30,30,national,11,1400,f, National,National,U.S.,US,Condo/Co-op,3,215255.0,0.0166044691524871,0.0732067858468332,230511.0,-0.0113298319634921,0.0541317821250884,182.0,0.0018856887074203,0.0764259270103373,195.0,-0.0010316497899782,0.0696569102163844,62371.0,0.1166870395404549,0.0466548056327664,58231.0,0.0837735910656038,0.052123466606988,85165.0,0.0017039007414612,-0.0314457404780582,198187.0,0.0248471101524261,-0.0829714324463112,3.1775595426461103,-0.2847515899024899,-0.4491627680523433,44.0,-6.0,-5.0,0.9790750589334726,0.0021701961916101,0.0042499261177311,0.2109522979997243,0.00666074022144,0.0184988505221317,0.0994310626195875,-0.0018143489330383,0.0027642365562699,0.4123620488248067,-0.0058301613305993,0.0293603419831196,,,2022-01-09 14:33:38
2019-01-01,2019-01-31,30,national,11,1400,f, National,National,U.S.,US,Condo/Co-op,3,238938.0,-0.0136672545855685,0.0127771596429098,271607.0,0.1286218132369998,0.0672126569127136,207.0,-0.0025635196560097,0.0324869551064526,232.0,0.1061002217511164,0.0693881104144715,37908.0,-0.1917555562413211,-0.1013628663794221,35871.0,0.0601137084700107,-0.0894720322403257,66648.0,0.8114314365195332,0.0399498452629163,165574.0,0.0516717630874079,0.1733608203876579,4.3677210274192735,1.0109833301590965,1.022632086033255,54.0,8.0,7.0,0.9732049299476804,-0.0031573191160683,-0.0045225845931011,0.150380859659085,-0.0122862517259078,-0.0328827696128532,0.1202343406200447,0.0367226117193084,0.0304533441118081,0.3721106760654736,0.100130012296323,-0.0637558385914019,,,2022-01-09 14:33:38
2018-11-01,2018-11-30,30,national,11,1400,t, National,National,U.S.,US,Single Family Residential,6,290021.53226385,0.0063293953750718,0.0407546944387549,306216.818181092,0.0044812161104934,0.0405784966888893,147.220538623288,0.0047316076497696,0.0427732215119644,153.599375131258,0.0040148901967447,0.0454976112197156,,,,331247.3845403,-0.0017727338251211,-0.0510676698911874,485061.577176972,-0.0052578301725068,-0.0007446093865999,,,,3.20587674080633,0.0227741402860499,0.26342187410639,,,,,,,0.225186959059424,-0.0076977216504449,-0.0202251830545449,0.15478094171146,-0.0053696866416559,0.027555767776683,0.350741477229968,-0.0106642620844079,-0.0355245468779619,,,2022-01-09 00:00:00
